http://purl.obolibrary.org/obo/DOID_3111	http://purl.bioontology.org/ontology/MESH/D003536	0.8
http://purl.obolibrary.org/obo/DOID_9487	http://purl.bioontology.org/ontology/MESH/D008467	0.59
http://purl.obolibrary.org/obo/DOID_13209	http://purl.bioontology.org/ontology/MESH/D002037	0.75
http://purl.obolibrary.org/obo/DOID_8791	http://purl.bioontology.org/ontology/MESH/D000071960	0.72
http://purl.obolibrary.org/obo/DOID_8892	http://purl.bioontology.org/ontology/MESH/D017515	0.61
http://purl.obolibrary.org/obo/DOID_2058	http://purl.bioontology.org/ontology/MESH/D002178	0.64
http://purl.obolibrary.org/obo/DOID_1255	http://purl.bioontology.org/ontology/MESH/D014252	0.77
http://purl.obolibrary.org/obo/DOID_14107	http://purl.bioontology.org/ontology/MESH/D053684	0.59
http://purl.obolibrary.org/obo/DOID_3069	http://purl.bioontology.org/ontology/MESH/D001254	0.82
http://purl.obolibrary.org/obo/DOID_3052	http://purl.bioontology.org/ontology/MESH/D001449	0.83
http://purl.obolibrary.org/obo/DOID_2354	http://purl.bioontology.org/ontology/MESH/D000750	0.74
http://purl.obolibrary.org/obo/DOID_1254	http://purl.bioontology.org/ontology/MESH/D014253	0.71
http://purl.obolibrary.org/obo/DOID_5330	http://purl.bioontology.org/ontology/MESH/D003788	0.74
http://purl.obolibrary.org/obo/DOID_13948	http://purl.bioontology.org/ontology/MESH/D001748	0.72
http://purl.obolibrary.org/obo/DOID_0050469	http://purl.bioontology.org/ontology/MESH/D056685	0.62
http://purl.obolibrary.org/obo/DOID_0080179	http://purl.bioontology.org/ontology/MESH/D008583	0.7
http://purl.obolibrary.org/obo/DOID_9065	http://purl.bioontology.org/ontology/MESH/D007896	0.7
http://purl.obolibrary.org/obo/DOID_0060763	http://purl.bioontology.org/ontology/MESH/D041441	0.87
http://purl.obolibrary.org/obo/DOID_4562	http://purl.bioontology.org/ontology/MESH/D004698	0.76
http://purl.obolibrary.org/obo/DOID_9240	http://purl.bioontology.org/ontology/MESH/D004916	0.68
http://purl.obolibrary.org/obo/DOID_461	http://purl.bioontology.org/ontology/MESH/D019042	0.66
http://purl.obolibrary.org/obo/DOID_10584	http://purl.bioontology.org/ontology/MESH/D012174	0.53
http://purl.obolibrary.org/obo/DOID_14330	http://purl.bioontology.org/ontology/MESH/D010300	0.85
http://purl.obolibrary.org/obo/DOID_10326	http://purl.bioontology.org/ontology/MESH/D002205	0.7
http://purl.obolibrary.org/obo/DOID_2355	http://purl.bioontology.org/ontology/MESH/D000740	0.87
http://purl.obolibrary.org/obo/DOID_11712	http://purl.bioontology.org/ontology/MESH/D003923	0.76
http://purl.obolibrary.org/obo/DOID_4071	http://purl.bioontology.org/ontology/MESH/D004383	0.78
http://purl.obolibrary.org/obo/DOID_12336	http://purl.bioontology.org/ontology/MESH/D007248	0.92
http://purl.obolibrary.org/obo/DOID_11758	http://purl.bioontology.org/ontology/MESH/D018798	0.66
http://purl.obolibrary.org/obo/DOID_4123	http://purl.bioontology.org/ontology/MESH/D009260	0.74
http://purl.obolibrary.org/obo/DOID_3614	http://purl.bioontology.org/ontology/MESH/D017436	0.64
